,0
0,10.319145
1,6.769903
2,5.3879776
3,11.576637
4,15.240783
5,13.642096
6,11.541566
7,14.916411
8,14.824441
9,12.65301
10,11.741579
11,11.491363
12,12.075257
13,17.172716
14,13.457009
15,6.59513
16,11.104479
17,5.474947
18,7.773061
19,11.709028
20,19.746908
21,5.9397016
22,12.377336
23,11.214703
24,14.252619
25,17.197824
26,21.74526
27,10.211543
28,5.9267483
29,14.086898
30,14.816854
31,5.0849514
32,12.811107
33,10.5138
34,11.529388
35,6.3575773
36,14.781479
37,16.361708
38,11.789368
39,13.586077
40,13.535535
41,21.980999
42,5.3387365
43,12.082206
44,21.602476
45,20.995811
46,15.062384
47,5.678914
48,11.746681
49,5.1948557
50,5.4527245
51,6.732133
52,13.943111
53,15.623768
54,16.07061
55,19.277016
56,15.210451
57,13.004829
58,22.083027
59,11.504095
60,18.262245
61,17.918005
62,12.877396
63,15.436287
64,20.895277
65,14.781118
66,12.127533
67,5.9237185
68,11.908438
69,16.977217
70,21.108408
71,20.23411
72,5.966782
73,13.303512
74,17.53963
75,12.381095
76,14.637779
77,13.184717
78,11.62436
79,13.993996
80,19.240213
81,6.1959205
82,21.460371
83,16.811985
84,21.412485
85,12.038073
86,8.953839
87,16.366455
88,21.771694
89,5.825597
90,12.91381
91,15.063901
92,18.732037
93,19.321304
94,16.803482
95,12.794832
96,21.973751
97,12.467058
98,18.798681
99,19.630878
100,18.657377
101,18.14252
102,7.8714466
103,15.545788
104,18.575289
105,11.362666
106,18.418133
107,17.538252
108,5.8709316
109,19.289547
110,20.456358
111,18.675127
112,19.301142
113,19.50771
114,11.888995
115,6.0919814
116,19.123228
117,12.627995
118,21.029219
119,16.231073
120,18.624865
121,10.365553
122,11.600779
123,12.269891
124,17.782564
125,12.451894
126,12.639848
127,13.942642
128,14.137342
129,10.58
130,13.340733
131,5.3986287
132,7.8647857
133,5.1166773
134,12.594882
135,18.503817
136,18.111895
137,19.208605
138,5.507516
139,11.048183
140,12.070307
141,11.724281
142,11.631907
143,11.850632
144,20.147081
145,11.292988
146,11.862117
147,17.497675
148,18.281145
149,14.505373
150,11.843553
151,14.603773
152,12.105957
153,11.544121
154,19.957376
155,13.461239
156,13.897461
157,21.83777
158,19.67159
159,16.16725
160,12.183674
161,17.771626
162,11.555884
163,19.867529
164,9.221231
165,19.98205
166,11.835259
167,15.50611
168,12.527811
169,5.6024127
170,12.457135
171,12.428213
172,10.420762
173,12.839964
174,20.688982
175,6.0676517
176,5.1583652
177,19.35959
178,12.898295
179,12.801483
180,19.712109
181,19.018679
182,11.279392
183,11.763901
184,12.38833
185,12.265579
186,13.575694
187,19.275173
188,8.33462
189,12.6642685
190,5.528633
191,5.6541624
192,17.310757
193,11.433355
194,11.327913
195,17.603018
196,18.047049
197,14.716915
198,5.5062323
199,18.332918
200,8.127901
201,13.015379
202,19.920084
203,19.900234
204,16.967722
205,11.529922
206,11.674435
207,11.400984
208,12.155748
209,19.43492
210,12.472273
211,12.844593
212,17.72568
213,5.263814
214,13.277417
215,17.520237
216,13.679023
217,12.11932
218,16.878286
219,11.547105
220,9.010784
221,12.155294
222,12.561792
223,16.56494
224,14.581726
225,11.242175
226,5.203274
227,12.85514
228,14.695778
229,10.322159
230,12.695195
231,6.8288116
232,12.335718
233,18.540775
234,14.03623
235,6.3394365
236,11.337196
237,14.894197
238,11.647771
239,13.613319
240,18.71937
241,13.120981
242,21.374475
243,16.561304
244,11.484649
245,5.765621
246,19.194227
247,12.862786
248,19.963064
249,17.259668
250,18.128218
251,13.863882
252,18.05076
253,16.728884
254,13.134022
255,12.371052
256,19.598158
